id,version,side,win,ban1,ban2,ban3,ban4,ban5,champion1,champion2,champion3,champion4,champion5,tower_kills,inhibitor_kills ,dragon_kills,rift_herald_kills,baron_kills,first_tower,first_inhibitor,first_dragon,first_rift_herald,first_baron
3320843999,10.5.312.392,Side.blue,True,Diana,Katarina,Blitzcrank,Fiora,Ekko,Ezreal,Fizz,Jarvan IV,Nami,Mordekaiser,8,1,2,0,1,True,True,False,False,True
3320843999,10.5.312.392,Side.red,False,Yasuo,Ekko,Sylas,Yuumi,Darius,Rek'Sai,Ornn,Kai'Sa,LeBlanc,Braum,2,0,1,1,0,False,False,True,True,False
3320843998,10.5.312.392,Side.blue,False,Yasuo,Sett,Rammus,Morgana,Ornn,Ahri,Ezreal,Trundle,Renekton,Heimerdinger,0,0,0,0,0,False,False,False,False,False
3320843998,10.5.312.392,Side.red,True,Ekko,Shaco,Mordekaiser,Master Yi,Sett,Garen,Vladimir,Caitlyn,Senna,Kayn,9,2,2,0,0,True,True,True,False,False
3320843997,10.5.312.392,Side.blue,False,Blitzcrank,Varus,Sett,Master Yi,NONE,Lux,Jinx,Rakan,Sylas,Olaf,4,0,2,0,0,True,False,False,False,False
3320843997,10.5.312.392,Side.red,True,Caitlyn,Ornn,Darius,Master Yi,Blitzcrank,Nami,Graves,Yorick,Ekko,Lucian,8,2,2,1,0,False,True,True,True,False
3320843994,10.5.312.392,Side.blue,True,Blitzcrank,Ahri,Master Yi,Sett,Ornn,Ashe,Morgana,Trundle,Camille,Mordekaiser,3,0,2,0,0,True,False,True,False,False
3320843994,10.5.312.392,Side.red,False,Malzahar,Blitzcrank,Ekko,Caitlyn,NONE,Aphelios,Senna,Shaco,LeBlanc,Tryndamere,0,0,0,0,0,False,False,False,False,False
3320843993,10.5.312.392,Side.blue,True,Yasuo,Fiora,Ekko,Sett,Evelynn,Karma,Senna,Tahm Kench,Qiyana,Shaco,0,0,0,0,0,False,False,False,False,False
3320843993,10.5.312.392,Side.red,False,Yasuo,Pyke,Master Yi,Caitlyn,Zilean,Gragas,Heimerdinger,Lucian,Leona,Yorick,0,0,0,0,0,False,False,False,False,False
3320843990,10.5.312.392,Side.blue,True,Pyke,Master Yi,Lee Sin,Blitzcrank,Darius,Yasuo,Veigar,Miss Fortune,Warwick,Gangplank,10,2,2,0,1,True,True,True,False,True
3320843990,10.5.312.392,Side.red,False,Renekton,Ashe,Jhin,Jax,Diana,Sett,Ezreal,Fizz,Morgana,Kayn,1,0,2,0,0,False,False,False,False,False
3320843983,10.5.312.392,Side.blue,True,Sett,Janna,Senna,Ekko,Warwick,Zed,Teemo,Kai'Sa,Malphite,Sona,11,4,4,1,1,True,True,True,True,True
3320843983,10.5.312.392,Side.red,False,Master Yi,Sett,Caitlyn,Braum,Malzahar,Shaco,Ashe,Rammus,Yasuo,Blitzcrank,0,0,0,0,0,False,False,False,False,False
3320843976,10.5.312.392,Side.blue,True,Blitzcrank,Illaoi,Aphelios,LeBlanc,Nautilus,Amumu,Brand,Darius,Zilean,Ashe,8,1,3,1,1,True,True,True,True,True
3320843976,10.5.312.392,Side.red,False,Blitzcrank,Malzahar,Aphelios,Master Yi,Mordekaiser,Jhin,Tahm Kench,Trundle,Annie,Cho'Gath,0,0,0,0,0,False,False,False,False,False
3320843973,10.5.312.392,Side.blue,True,Draven,Leona,Amumu,Fizz,Aatrox,Mordekaiser,Lulu,Kog'Maw,Morgana,Master Yi,5,0,2,2,0,True,False,True,True,False
3320843973,10.5.312.392,Side.red,False,Aphelios,Katarina,Sett,Blitzcrank,Darius,Sylas,Veigar,Tryndamere,Sona,Ezreal,1,0,0,0,0,False,False,False,False,False
3320843966,10.5.312.392,Side.blue,True,Sett,Ekko,Zed,Zyra,Yasuo,Master Yi,Teemo,Ezreal,Lux,Malzahar,11,2,4,1,1,False,True,False,True,True
3320843966,10.5.312.392,Side.red,False,Kai'Sa,Senna,Aphelios,Nautilus,Zac,Fiddlesticks,Jhin,Cho'Gath,Tryndamere,Graves,5,0,1,0,1,True,False,True,False,False
3320843961,10.5.312.392,Side.blue,False,Yasuo,Aatrox,Master Yi,Aphelios,Leona,Tristana,Soraka,Teemo,Irelia,Sejuani,2,0,0,2,0,True,False,False,True,False
3320843961,10.5.312.392,Side.red,True,Nautilus,Yasuo,Vayne,Jax,Shaco,Warwick,Ashe,Morgana,Darius,Urgot,11,3,5,0,0,False,True,True,False,False
3320843952,10.5.312.392,Side.blue,True,NONE,Mordekaiser,Zac,Aphelios,Kassadin,Lucian,Leona,Udyr,Urgot,Ekko,10,2,4,2,1,True,True,True,True,True
3320843952,10.5.312.392,Side.red,False,Pyke,Blitzcrank,Yuumi,Zoe,Garen,Vel'Koz,Sett,Veigar,Ezreal,Janna,1,0,0,0,0,False,False,False,False,False
3320843951,10.5.312.392,Side.blue,False,NONE,Taric,Master Yi,Darius,NONE,Sett,Nami,Jarvan IV,Jhin,Nautilus,0,0,0,0,0,False,False,False,False,False
3320843951,10.5.312.392,Side.red,True,Evelynn,Yasuo,Veigar,Ekko,Malzahar,Renekton,Ashe,Morgana,Warwick,Annie,11,4,5,2,2,True,True,True,True,True
3320843945,10.5.312.392,Side.blue,False,Aphelios,Soraka,Yasuo,Senna,Olaf,Blitzcrank,Miss Fortune,Syndra,Ornn,Elise,9,1,2,0,2,False,True,True,False,True
3320843945,10.5.312.392,Side.red,True,Lee Sin,Master Yi,Mordekaiser,Leona,Aphelios,Tahm Kench,Caitlyn,Jarvan IV,Diana,Vladimir,7,1,2,2,0,True,False,False,True,False
3320843942,10.5.312.392,Side.blue,True,Sett,Diana,Ornn,Warwick,Yasuo,Miss Fortune,Fizz,Fiora,Amumu,Rakan,9,1,2,2,0,True,True,True,True,False
3320843942,10.5.312.392,Side.red,False,Darius,Master Yi,Senna,Leona,Teemo,Nami,Tryndamere,Pyke,Jax,Lucian,2,0,3,0,1,False,False,False,False,True
3320843938,10.5.312.392,Side.blue,False,Nautilus,Renekton,Illaoi,Master Yi,Fizz,Aphelios,Aatrox,Graves,Janna,Ekko,3,0,2,2,0,True,False,True,True,False
3320843938,10.5.312.392,Side.red,True,Diana,Garen,Leona,Katarina,Darius,Taliyah,Fiora,Vayne,Yuumi,Amumu,8,1,3,0,0,False,True,False,False,False
3320843935,10.5.312.392,Side.blue,True,Garen,Nautilus,Sett,Vladimir,Blitzcrank,Teemo,Caitlyn,Warwick,Camille,Katarina,4,0,3,2,1,False,False,True,True,True
3320843935,10.5.312.392,Side.red,False,Senna,Sett,Yasuo,Blitzcrank,Mordekaiser,Renekton,Lee Sin,Nami,Ahri,Ezreal,3,0,0,0,0,True,False,False,False,False
3320843930,10.5.312.392,Side.blue,True,Morgana,Quinn,Ekko,Lee Sin,Zed,Nautilus,Ezreal,Riven,Yasuo,Warwick,7,2,3,1,0,True,True,True,True,False
3320843930,10.5.312.392,Side.red,False,Senna,Sett,Katarina,Diana,Aphelios,Draven,Fizz,Gangplank,Dr. Mundo,Sona,0,0,0,0,0,False,False,False,False,False
3320843929,10.5.312.392,Side.blue,True,Master Yi,Aphelios,Yasuo,Kayn,Fizz,Garen,Draven,Lucian,Ivern,Tahm Kench,10,2,2,0,0,True,True,False,False,False
3320843929,10.5.312.392,Side.red,False,Sett,Pyke,Kassadin,Shaco,Darius,Olaf,Quinn,Ekko,Caitlyn,Leona,0,0,1,0,0,False,False,True,False,False
